"genres","mean ( runtime (min) )"
"Crime, Action, Comedy","170"
"Action, Thriller, Crime","170"
"Crime, Drama, Action","170"
"Action, Crime, Drama","170"
"Adventure, Fantasy, Action","169"
"Action, Adventure, Thriller","169"
"Horror, Thriller","169"
"Drama, History, War","169"
"Action, Drama, Adventure, War","169"
"Action, Crime, Thriller","169"
"Adventure, Drama, Science Fiction","169"
"Science Fiction, Adventure","167"
"Drama, Thriller, Crime","167"
"Crime, Drama, Romance","166"
"Drama, Fantasy, Romance","166"
