"runtime (min)","vote_average (%)","count ( _id )"
"0 - 10","90 - 100","2"
"0 - 10","10 - 20","1"
"0 - 10","50 - 60","4"
"0 - 10","100 - 110","1"
"0 - 10","30 - 40","1"
"0 - 10","0 - 10","30"
"0 - 10","60 - 70","7"
"0 - 10","70 - 80","6"
"10 - 20","70 - 80","1"
"10 - 20","0 - 10","1"
"10 - 20","60 - 70","2"
"10 - 20","40 - 50","1"
"20 - 30","0 - 10","2"
"20 - 30","60 - 70","5"
"20 - 30","90 - 100","1"
"20 - 30","80 - 90","2"
"20 - 30","70 - 80","3"
"30 - 40","50 - 60","2"
"30 - 40","60 - 70","5"
"30 - 40","70 - 80","5"
"30 - 40","80 - 90","1"
"30 - 40","0 - 10","1"
"40 - 50","40 - 50","1"
"40 - 50","50 - 60","2"
"40 - 50","90 - 100","1"
"40 - 50","70 - 80","7"
"40 - 50","60 - 70","10"
"50 - 60","40 - 50","2"
"50 - 60","80 - 90","1"
"50 - 60","50 - 60","2"
"50 - 60","0 - 10","2"
"50 - 60","70 - 80","6"
"50 - 60","100 - 110","1"
"50 - 60","60 - 70","9"
"60 - 70","10 - 20","1"
"60 - 70","100 - 110","1"
"60 - 70","20 - 30","2"
"60 - 70","80 - 90","4"
"60 - 70","50 - 60","7"
"60 - 70","0 - 10","1"
"60 - 70","70 - 80","12"
"60 - 70","60 - 70","21"
"70 - 80","50 - 60","9"
"70 - 80","30 - 40","1"
"70 - 80","0 - 10","2"
"70 - 80","70 - 80","34"
"70 - 80","80 - 90","2"
"70 - 80","60 - 70","28"
"70 - 80","40 - 50","2"
"80 - 90","60 - 70","134"
"80 - 90","80 - 90","17"
"80 - 90","40 - 50","23"
"80 - 90","20 - 30","4"
"80 - 90","30 - 40","4"
"80 - 90","70 - 80","97"
"80 - 90","0 - 10","3"
"80 - 90","50 - 60","89"
"90 - 100","10 - 20","1"
"90 - 100","70 - 80","215"
"90 - 100","40 - 50","19"
"90 - 100","60 - 70","377"
"90 - 100","30 - 40","2"
"90 - 100","80 - 90","24"
"90 - 100","0 - 10","3"
"90 - 100","50 - 60","164"
"90 - 100","90 - 100","1"
"100 - 110","50 - 60","112"
"100 - 110","60 - 70","409"
"100 - 110","90 - 100","1"
"100 - 110","0 - 10","9"
"100 - 110","80 - 90","25"
"100 - 110","30 - 40","3"
"100 - 110","40 - 50","14"
"100 - 110","70 - 80","249"
"110 - 120","60 - 70","306"
"110 - 120","50 - 60","75"
"110 - 120","0 - 10","3"
"110 - 120","80 - 90","31"
"110 - 120","70 - 80","250"
"110 - 120","40 - 50","5"
"110 - 120","30 - 40","1"
"120 - 130","50 - 60","26"
"120 - 130","60 - 70","192"
"120 - 130","90 - 100","1"
"120 - 130","70 - 80","188"
"120 - 130","80 - 90","23"
"120 - 130","0 - 10","3"
"120 - 130","40 - 50","5"
"130 - 140","70 - 80","141"
"130 - 140","60 - 70","114"
"130 - 140","90 - 100","1"
"130 - 140","50 - 60","15"
"130 - 140","80 - 90","24"
"130 - 140","0 - 10","1"
"140 - 150","70 - 80","82"
"140 - 150","60 - 70","48"
"140 - 150","80 - 90","17"
"140 - 150","50 - 60","4"
"150 - 160","70 - 80","35"
"150 - 160","60 - 70","21"
"150 - 160","50 - 60","5"
"150 - 160","80 - 90","10"
"160 - 170","60 - 70","5"
"160 - 170","80 - 90","8"
"160 - 170","0 - 10","1"
"160 - 170","70 - 80","29"
"160 - 170","50 - 60","1"
"170 - 180","70 - 80","15"
"170 - 180","0 - 10","1"
"170 - 180","80 - 90","6"
"170 - 180","60 - 70","5"
"180 - 190","80 - 90","6"
"180 - 190","70 - 80","6"
"180 - 190","60 - 70","4"
"190 - 200","80 - 90","2"
"190 - 200","70 - 80","6"
"200 - 210","60 - 70","1"
"200 - 210","70 - 80","2"
"200 - 210","80 - 90","3"
"210 - 220","70 - 80","3"
"220 - 230","70 - 80","2"
"220 - 230","60 - 70","1"
"220 - 230","80 - 90","2"
"230 - 240","70 - 80","1"
"240 - 250","80 - 90","2"
"240 - 250","0 - 10","1"
"240 - 250","70 - 80","1"
"250 - 260","70 - 80","1"
"400 - 410","70 - 80","1"
"480 - 490","70 - 80","2"
"960 - 970","70 - 80","1"
