"sum ( revenue )","budget","popularity"
"13551174","14000000","8.5202"
"102731865","12000000","14.8778"
"529323962","175000000","18.7341"
"9148519","1100000","8.1132"
"0","0","9.733"
"0","0","7.9414"
"92600000","7000000","13.233"
"161921515","5000000","11.0138"
"28579636","1900000","11.1183"
"68467960","42000000","12.2127"
"3138750","0","9.1287"
"98337295","38000000","9.7356"
"326088587","55000000","9.1839"
"68929150","40600000","9.1323"
"204594016","60000000","11.5704"
"0","0","16.8619"
"67711748","16500000","12.2477"
"34533783","15000000","11.249"
"0","0","8.6967"
"0","0","7.7802"
"0","0","8.3855"
"262511490","75000000","15.824"
"137000000","75000000","9.7519"
"4942449","5500000","7.8484"
"0","0","8.1863"
"0","10000000","12.7307"
"0","0","8.3109"
"202026112","100000000","11.1841"
"298776052","72000000","28.9101"
"261989769","117000000","14.6752"
"94072","0","9.0459"
"28126646","12000000","17.1843"
"0","0","7.4574"
"66787908","20000000","9.8092"
"91500000","13500000","10.3383"
"0","0","10.2574"
"4500000","35000000","13.4335"
"56681566","43000000","9.8427"
"191067560","70000000","21.1489"
"19238073","14000000","14.2803"
"1350322","5300000","69.0932"
"0","90000000","584.7785"
"89162162","42000000","10.1042"
"0","0","53.1063"
"0","83000000","13.7728"
"395607854","75000000","12.2847"
"0","0","7.7951"
"12532777","36000000","15.2985"
"27849137","20000000","7.5694"
"328000000","2600000","7.1818"
"89500000","55000000","10.2915"
"259175788","120000000","14.0052"
"43300000","30000000","7.919"
"127337252","118000000","82.3718"
"267447150","858000","6.5592"
"0","0","9.5276"
"41205099","12000000","11.6239"
"49851770","10951000","7.2337"
"282570682","135000000","13.4019"
"326709727","55000000","11.7915"
"0","0","13.8283"
"7935363","8000000","10.5919"
"17185954","17000000","8.7534"
"180557550","75000000","14.9096"
"21520719","0","7.912"
"924317558","115000000","13.6751"
"12008642","10000000","8.5712"
"151300000","10000000","9.4919"
"38119483","22700000","16.2606"
"325800000","48000000","9.9544"
"0","30000000","11.3652"
"130442786","8000000","9.0668"
"0","200000000","8.2025"
"23834809","46000000","8.9744"
"436388866","36000000","6.6586"
"0","0","9.6563"
"0","3000000","8.0919"
"0","0","8.7055"
"0","0","21.2704"
"177400000","26000000","16.9166"
"52200000","57000000","7.9153"
"55200000","50000000","12.3934"
"104198180","80000000","7.8442"
"122808788","32000000","12.0267"
"5380118","5000000","29.2692"
"458718000","310000000","58.6758"
"218100001","130000000","14.5605"
"169801921","110000000","7.0697"
"0","0","6.9652"
"336529144","100000000","6.6698"
"11522","1000000","25.2812"
"548696","0","8.4147"
"0","0","8.3838"
"75634409","18000000","15.9605"
"10686841","20000000","7.4785"
"126540","13000000","7.5965"
"0","0","7.8573"
"174822325","163000000","12.1377"
"0","0","32.311"
"0","770000","7.5721"
"0","0","8.495"
"108902486","32000000","10.9819"
"335800000","150000000","18.6393"
"0","3000000","8.4831"
"0","0","8.5166"
"63501160","0","12.6941"
"0","0","7.3257"
"0","55000000","16.0329"
"19496308","0","10.2741"
"138083280","28000000","26.9238"
"159300000","60000000","12.2971"
"9060335","0","9.2421"
"2576990","6000000","12.9629"
"2000000","393750","45.0511"
"0","0","10.4035"
"48063465","25000000","10.251"
"0","450000","8.5306"
"881","1000000","11.181"
"180613180","69000000","10.0655"
"38600000","8575000","16.9507"
"0","0","8.1374"
"93411426","15000000","14.4"
"0","0","10.4605"
"85412898","40000000","11.3485"
"211952420","35000000","10.1284"
"86500000","75000000","12.6291"
"71406573","20000000","9.897"
"49830607","19000000","7.8005"
"55101305","3000000","15.9653"
"3983828","0","9.3029"
"31505287","35000000","8.2086"
"21440752","12000000","21.7222"
"0","0","8.1284"
"15800000","15774948","11.4303"
"0","0","24.5221"
"113493481","90000000","10.725"
"660998756","80000000","16.6374"
"304320254","90000000","16.2516"
"295206","5000000","7.7406"
"1662020819","260000000","69.5295"
"0","0","11.3856"
"64600152","9000000","7.9546"
"0","0","11.0832"
"5184368","1700000","9.111"
"107139399","60000000","10.1492"
"27900000","3500000","9.1156"
"876688482","100000000","31.2795"
"0","15000000","12.7562"
"88200000","35000000","10.5378"
"758539785","180000000","11.8391"
"174800000","50000000","12.6916"
"3296846","0","15.2474"
"85241496","19000000","10.6897"
"324800000","90000000","14.1455"
"0","0","8.0179"
"415885488","80000000","23.4654"
"197300000","85000000","12.7002"
"189086877","16000000","15.6842"
"3909002","6500000","8.6733"
"6916899","0","10.302"
"104545505","25000000","9.5548"
"259239658","150000000","143.5877"
"0","0","8.5013"
"150008115","0","7.1561"
"175302354","40000000","15.5255"
"0","80000000","20.8213"
"587204668","135000000","10.0935"
"100605135","50000000","15.2082"
"0","0","8.6342"
"1500000","0","8.6194"
"182533162","3000000","6.9815"
"47990414","14000000","13.3164"
"124600000","12000000","12.7664"
"215934638","9500000","13.4078"
"31635150","21000000","9.1245"
"872000","0","17.1267"
"782837347","58000000","15.1709"
"502758","5000000","7.0447"
"0","0","7.9134"
"15900000","21700000","5.8182"
"105734416","38000000","10.3544"
"27122040","25000000","17.8917"
"185438673","13500000","11.6179"
"266500000","100000000","19.1995"
"56000000","0","9.3686"
"191502426","30000000","7.3884"
"549368315","50000000","18.9305"
"245700000","80000000","15.829"
"553799566","140000000","18.3719"
"2310092832","250000000","13.9872"
"5844868","6000000","7.4359"
"362600000","125000000","14.2868"
"0","0","8.783"
"225973340","177200000","7.5133"
"886686817","90000000","20.251"
"0","0","8.4589"
"36911617","51000000","8.4172"
"208200000","151000000","18.9138"
