"genres","mean ( runtime (min) )"
"Music, Documentary","503"
"History, Drama, War, TV Movie","240"
"Drama, War, Romance","233"
"History, Drama, Adventure, Action","222"
"Music, TV Movie","201"
"History, War, Drama, Adventure","197"
"Adventure, History, War","195.5"
"Fantasy, Drama, Crime","189"
"Drama, Mystery, Western","188"
"War, Romance, History, Action","183"
"Comedy, Music, TV Movie, Documentary","182"
"Adventure, Drama, Western","181"
"Comedy, Music, TV Movie","181"
"Crime, Action, Drama, Thriller","180"
"Action, Drama, History, War","177"
"Drama, Action, Fantasy, Science Fiction","176"
"Action, Drama, Adventure, War","169"
"Action, Drama, Thriller, Crime","167"
"Crime, Drama, History","166"
"Drama, History, War, Action","165"
"Drama, Action, History, Thriller","164"
"Mystery, Action, Science Fiction","163"
"Adventure, Drama, Action","162.33333333333334"
"Drama, Romance, War","162.33333333333334"
"Animation, Comedy, Science Fiction, Mystery, Drama","162"
"Drama, Family, Comedy","161"
"History, Action, Drama","161"
"Drama, History, Romance","160.75"
"Drama, Music, Comedy","160"
"History, Music, Drama","160"
"Adventure, Science Fiction, Action","159"
"History, Drama, Crime","158"
"History, War, Romance","158"
"Action, Drama, Romance, Thriller","158"
"Western, Drama, Adventure","157"
"Drama, Science Fiction, Adventure, Action","157"
"Drama, Romance, Crime","156"
"Horror, Science Fiction, Drama","156"
"Adventure, Drama, War","155.5"
"Action, Drama, Adventure","155"
"Action, Thriller, Mystery, Crime","155"
"Mystery, Crime, Drama","155"
"Drama, Western","154.25"
"War, History, Adventure, Romance","154"
"Drama, Action, War","154"
"History, Drama, Action","153"
"Drama, Action, History","153"
"Drama, History, War","152"
"Drama, Action, Crime, Thriller","152"
"Drama, Thriller, History","151"
