"runtime (min)","vote_average (%)"
"123","65.6"
"103","52.5"
"97","70.71"
"109","84.23"
"104","69.25"
"134","0"
"111","65.02"
"102","61.4"
"124","73.48"
"133","73"
"130","73.31"
"106","60.28"
"102","63.91"
"79","75.46"
"108","68.51"
"98","80.61"
"97","70"
"157","67.64"
"99","64.96"
"115","64.25"
"88","70"
"91","73.33"
"103","60.33"
"61","83"
"178","80.1"
"98","60.55"
"97","52"
"127","83.75"
"92","68.01"
"97","67.75"
"98","64"
"104","77.46"
"112","63.22"
"127","74.03"
"99","69.92"
"60","65.63"
"122","66.55"
"88","72.79"
"115","59"
"104","62"
"36","70"
"135","76.72"
"102","69"
"97","69.61"
"127","46.17"
"129","69.46"
"77","73.5"
"147","71.51"
"124","72.65"
"86","65"
"122","69.95"
"82","27"
"104","62.33"
"89","52.33"
"103","63.15"
"90","47"
"113","64.45"
"128","65.32"
"120","71"
"80","60.86"
"5","72"
"123","66.83"
"113","68.76"
"104","74.38"
"97","85.48"
"99","75"
"108","75.72"
"125","55.85"
"113","73.09"
"128","74.48"
"110","67.74"
"83","56"
"81","55.8"
"155","63.48"
"126","71.84"
"115","70.44"
"103","71"
"127","75.43"
"119","79.48"
"118","59.95"
"97","64.6"
"60","61"
"88","44.52"
"129","63.16"
"113","82.72"
"93","64.96"
"110","66.19"
"81","69.15"
"130","68"
"132","77.98"
"112","74.43"
"102","64.28"
"98","67.31"
"93","64.28"
"103","77.98"
"98","48.13"
"117","69.4"
"92","66.81"
"102","68"
"115","50"
"121","76"
"89","44"
"94","73.84"
"111","59"
"105","69.34"
"125","62.89"
"152","79.02"
"116","82.15"
"119","60"
"103","81"
"106","64.04"
"92","68.84"
"89","65.95"
"126","73.83"
"153","80.99"
"78","59"
"132","78"
"115","76.2"
"110","77.24"
"94","68.83"
"124","65.6"
"46","64.41"
"95","62"
"124","66.94"
"95","50.06"
"191","80.43"
"83","68.99"
"97","75.19"
"109","61.79"
"87","49"
"105","49.67"
"146","63"
"80","73.33"
"131","74.37"
"121","64.8"
"114","70.75"
"97","68.53"
"122","80"
"120","69.1"
"95","66.65"
"114","51.73"
"85","38.63"
"20","70"
"148","83.68"
"125","64.41"
"165","59.42"
"88","60.38"
"117","78.91"
"7","61.13"
"0","50"
"90","58.88"
"101","58.78"
"135","73.82"
"80","81.18"
"60","74"
"131","63.54"
"78","77"
"123","68"
"74","70"
"121","65"
"136","74.99"
"137","61.84"
"136","55.5"
"52","64.46"
"142","61"
"102","75.93"
"101","60.53"
"114","81.34"
"89","51.79"
"109","61.71"
"118","64.29"
"107","68.36"
"71","68.75"
"89","60.91"
"89","67.67"
"83","67.15"
"92","57.98"
"101","58.53"
"105","47.37"
"104","64.49"
"122","79.44"
"97","71.4"
"124","63.79"
"115","67.36"
"110","55.55"
"104","65.99"
"115","75.13"
"107","67.34"
"133","71"
"97","79"
"94","61.89"
"91","76.09"
"95","54"
"126","77.55"
"109","62.95"
"111","71.84"
"137","72.26"
"123","68.95"
"98","72.37"
"103","68.88"
"153","76.84"
"105","71.71"
"109","75.17"
"104","67.74"
"101","61.34"
"135","66"
"96","69.11"
"124","66.11"
"108","62.28"
"112","71.72"
"84","57.47"
"107","75.85"
"116","74.47"
"92","48.89"
"90","78.11"
"107","59.67"
"84","65.31"
"111","70.84"
"129","75.69"
"113","63.57"
"92","59.05"
"109","73.92"
"113","74.17"
"95","55.38"
"101","60.2"
"124","73.24"
"107","71.06"
"135","71"
"113","66.64"
"157","69.88"
"116","82.38"
"130","71.33"
"145","68.92"
"117","53.57"
"110","70.32"
"60","76"
"97","71.83"
"110","72.13"
"127","77.32"
"96","58"
"94","59.9"
"123","64.17"
"97","68"
"125","71.29"
"108","66.56"
"114","68.05"
"116","70.02"
"144","65.13"
"82","60.38"
"125","71.9"
"115","65.34"
"100","72.1"
"93","63.29"
"111","70.06"
"112","61.52"
"104","64.75"
"122","80.08"
"126","64.96"
"98","61.81"
"86","52.56"
"113","59.36"
"115","75"
"109","81.99"
