"genres","mean ( Profit )"
"Action, Adventure, Fantasy, Science Fiction","1484474659"
"Adventure, Drama, Family, Animation","1402020819"
"Family, Animation, Adventure, Comedy, Fantasy","1303683476"
"Adventure, Science Fiction, Action","1246106220"
"Family, Fantasy, Romance","1106115964"
"Action, Animation, Comedy, Family, Adventure","954800131"
"Adventure, Comedy, Fantasy, Action, Family","905339117"
"Family, Adventure, Animation, Comedy, Fantasy","898841394"
"Adventure, Fantasy, Romance, Family","871300000"
"Adventure, Science Fiction","857100000"
